Num,City,Country,Latitude,Longitude,Total,Food,Meal,Coke/Pepsi (0.33L bottle),Milk (1 L),Beer (0.5L bottle),Apples (1kg),Cappuccino,Transportation,Gasoline (1 L),New Toyota Corolla,Accomodation,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",Personal and Household Expenses,Internet,"Fitness Club, Monthly Fee for 1 Adult","Cinema, International Release, 1 Seat",1 Pair of Jeans,1 Pair of Nike Running Shoes,Education,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Average Monthly Net Salary (After Tax)
1,Saint Petersburg,Russia,59.93428,30.3351,29467.9974,14.3989,8.0006,0.8284,1.0682,0.9592,1.4061,2.1364,21043.4964,0.7303,21042.7661,1885.5801,1103.6577,670.5571,111.3653,201.7699,7.5864,28.6343,5.6026,78.3274,81.6192,6322.7521,448.8947,5873.8574,704.0746
2,Istanbul,Turkey,41.00824,28.97836,31757.0846,11.3469,4.9922,0.6976,0.7739,1.9511,0.9265,2.0056,22754.5893,1.1445,22753.4448,1002.5929,594.595,343.3282,64.6697,153.2322,15.478,27.359,4.1638,39.4035,66.8279,7835.3233,308.4046,7526.9187,475.24
3,Izmir,Turkey,38.42373,27.14283,29235.3696,9.0252,3.3354,0.6649,0.7085,1.7767,0.8393,1.7004,22780.8583,1.1336,22779.7247,686.8853,385.5984,245.6206,55.6663,133.5577,14.0501,22.4976,3.3354,36.188,57.4866,5625.0431,231.2762,5393.7669,427.3563
4,Helsinki,Finland,60.16986,24.93838,32515.3758,25.9638,13.08,2.8994,1.0464,2.4307,2.289,4.2183,26600.6979,1.6786,26599.0193,3458.7226,1983.0588,1385.5644,90.0994,258.0575,24.3179,37.6486,15.26,90.9169,89.9141,2171.934,383.244,1788.69,2596.9904
5,Chisinau,Moldova,47.01045,28.86381,23101.2529,9.4939,5.0903,0.6976,0.7412,0.8393,0.763,1.3625,18790.6299,1.0682,18789.5617,951.5373,467.2503,360.6156,123.6714,199.688,9.3522,29.0376,5.6571,61.6286,94.0125,3149.9038,229.4668,2920.437,312.7755
6,Milan,Italy,45.45863,9.18187,42314.0289,25.6041,16.35,2.7141,1.3189,1.308,2.3217,1.5914,25326.0628,1.7331,25324.3297,4255.4799,2519.9056,1556.847,178.7273,303.5868,31.5337,72.6158,10.9,94.4485,94.0888,12403.2953,672.8243,11730.471,1745.09
7,Cairo,Egypt,30.04442,31.23571,26969.543,9.6683,3.6842,0.3161,0.9156,1.526,1.4279,1.7985,22912.6066,0.4905,22912.1161,662.5238,384.4866,249.9261,28.1111,221.0847,16.0993,28.5471,4.9159,46.1942,125.3282,3163.6596,132.0535,3031.6061,241.653
8,Banja Luka,Bosnia and Herzegovina,44.77218,17.191,20706.3158,8.3494,3.9022,1.2862,0.7521,0.545,0.9374,0.9265,18018.9535,1.2753,18017.6782,870.4086,434.0162,282.6588,153.7336,198.162,23.2606,22.563,2.7795,69.1496,80.4093,1610.4423,140.283,1470.1593,469.4521
9,Baku,Azerbaijan,40.40926,49.86709,27880.6631,10.9763,5.7443,0.4033,0.9047,0.8284,0.7521,2.3435,20235.9372,0.5341,20235.4031,1036.6009,663.7119,326.4005,46.4885,203.3722,16.9059,33.1687,4.0221,47.5131,101.7624,6393.7765,227.6356,6166.1409,320.4927
10,Guadalajara,Mexico,20.6597,-103.34961,21554.1723,12.5895,5.7225,0.7194,0.9483,0.8938,2.1364,2.1691,16982.2981,1.09,16981.2081,1140.0637,692.1064,423.2797,24.6776,179.3486,30.0077,26.8031,3.9022,44.472,74.1636,3239.8724,158.8675,3081.0049,543.5612
11,Kathmandu,Nepal,27.71725,85.32396,52385.4218,8.8508,2.1691,0.4905,0.7303,1.9402,1.8421,1.6786,50377.402,0.9483,50376.4537,551.9324,322.0187,202.7509,27.1628,128.3475,18.1594,26.1818,3.3354,26.487,54.1839,1318.8891,60.9528,1257.9363,200.7453
12,Hanoi,Vietnam,21.00312,105.82014,46797.4169,9.4176,2.1146,0.4905,1.4388,0.7085,2.9539,1.7113,36506.7487,0.8611,36505.8876,1201.8122,663.7664,464.4817,73.5641,154.0279,10.2569,26.2254,4.0221,33.681,79.8425,8925.4105,181.5395,8743.871,386.5358
13,Ho Chi Minh City,Vietnam,10.8231,106.62966,43492.9075,9.156,2.1146,0.4687,1.3189,0.7957,2.5833,1.8748,33551.2573,0.872,33550.3853,1755.7284,1058.826,641.0399,55.8625,168.4377,11.3578,23.4132,3.815,41.0058,88.8459,8008.3281,119.5185,7888.8096,378.3826
14,Mexico City,Mexico,19.24647,-99.10135,23859.6531,12.317,5.1993,0.6649,0.9919,1.1772,2.1037,2.18,16181.9547,1.0682,16180.8865,2075.8941,1242.3602,800.7358,32.7981,212.7571,28.7106,54.0204,4.1638,45.3658,80.4965,5376.7302,230.0445,5146.6857,649.967
15,Rome,Italy,41.9027,12.49624,43086.9479,24.3397,16.35,2.0383,1.3952,1.1118,2.0492,1.3952,25655.1774,1.7113,25653.4661,3507.0423,2038.3,1282.1888,186.5535,279.1054,32.3076,62.9693,9.265,87.5924,86.9711,13621.2831,571.0074,13050.2757,1598.0054
16,Monterrey,Mexico,25.68661,-100.31611,21968.3832,13.8539,6.2675,0.7521,0.9919,1.0246,2.3326,2.4852,15720.3179,1.0573,15719.2606,1383.2209,826.0674,502.8606,54.2929,186.3028,28.1656,37.3652,3.9131,44.1559,72.703,4664.6877,216.8882,4447.7995,758.0514
17,Yekaterinburg,Russia,56.83893,60.6057,25561.9933,12.208,6.4092,0.8393,0.8175,0.9374,1.4061,1.7985,20527.6975,0.7085,20526.989,1152.8058,599.391,430.1031,123.3117,200.1131,8.2949,38.7059,4.0112,68.1904,80.9107,3669.1689,217.7166,3451.4523,586.4091
18,Sarajevo,Bosnia and Herzegovina,43.85626,18.41308,24440.5141,9.2323,3.8913,1.4824,0.763,0.6758,1.0246,1.3952,19273.7179,1.2971,19272.4208,1044.1546,556.1289,334.848,153.1777,193.8674,24.8193,28.885,3.8913,58.7074,77.5644,3919.5419,179.4903,3740.0516,529.8708
19,Kharkiv,Ukraine,49.9935,36.23038,26809.7054,8.6982,4.905,0.4142,0.9265,0.7194,0.6104,1.1227,22964.3707,1.1881,22963.1826,1227.34,671.3419,427.9667,128.0314,200.0586,6.0713,20.2522,4.0875,70.8391,98.8085,2409.2379,192.3632,2216.8747,367.766
20,Kiev,Ukraine,50.4501,30.5234,33079.9304,10.5185,6.1367,0.6322,1.0137,0.8175,0.6431,1.2753,22628.4327,1.2208,22627.2119,1796.2219,1077.8138,610.7815,107.6266,209.9667,5.5699,22.8028,4.6979,69.7927,107.1034,8434.7906,277.6666,8157.124,563.2575
21,Calgary,Canada,51.04473,-114.07188,32640.9765,27.468,14.9875,1.7767,1.4715,2.7577,3.052,3.4226,17414.821,0.7848,17414.0362,2759.008,1474.5629,1139.9438,144.5013,232.9657,59.5903,44.2322,10.4858,46.1179,72.5395,12206.7138,850.9412,11355.7726,3222.3997
22,Tunis,Tunisia,36.80649,10.18153,26033.0259,6.1476,2.0928,0.545,0.4251,0.8066,1.5478,0.7303,23326.7957,0.6867,23326.109,660.7471,361.2369,266.0908,33.4194,167.5439,18.5627,24.089,3.4771,43.3711,78.044,1871.7916,78.8179,1792.9737,311.5111
23,Edmonton,Canada,53.54612,-113.49382,28623.2801,26.1273,14.9875,1.6132,1.7113,1.6786,2.9212,3.2155,17494.3147,0.7739,17493.5408,2776.4371,1461.2758,1146.7127,168.4486,229.2924,57.2904,42.074,10.4858,49.5841,69.8581,8097.1086,641.2143,7455.8943,2781.9198
24,Amsterdam,Netherlands,52.3667,4.89454,50445.5597,27.2827,16.35,2.5615,1.1118,1.3734,2.4743,3.4117,29100.9181,1.8094,29099.1087,5163.2428,2925.2766,2053.56,184.4062,291.5532,44.1123,39.9703,13.08,92.0941,102.2965,15862.5629,1681.2378,14181.3251,2884.8594
25,Belgrade,Serbia,44.78657,20.44892,26060.9844,11.1834,5.8751,1.4606,0.8611,0.6649,0.7848,1.5369,19048.4803,1.4715,19047.0088,1290.0913,710.9416,431.1713,147.9784,207.754,23.3805,26.8249,4.6216,71.395,81.532,5503.4754,268.0746,5235.4008,476.5916
26,Odessa,Ukraine,46.48253,30.72331,27528.7893,10.5839,6.1585,0.6213,1.0573,0.7412,0.7085,1.2971,23297.9979,1.1881,23296.8098,1198.6076,653.7711,441.7443,103.0922,220.6923,6.2457,22.7156,4.9268,81.0633,105.7409,2800.9076,229.9682,2570.9394,392.9123
27,Paris,France,48.85661,2.35222,46714.8058,30.084,16.35,3.4226,1.3516,1.9402,3.3136,3.706,26434.2004,1.7004,26432.5,4909.7851,2830.9153,1893.2537,185.6161,279.7267,29.5935,43.5782,11.99,93.7836,100.7814,15061.0096,956.7475,14104.2621,2414.3718
28,Eindhoven,Netherlands,51.44164,5.46972,38065.6231,26.5851,16.35,2.6269,1.0137,1.2971,2.4307,2.8667,28045.9616,1.7658,28044.1958,3190.7243,1649.7586,1357.7585,183.2072,252.7601,39.4362,26.4216,13.08,88.6824,85.1399,6549.592,1331.217,5218.375,2838.1856
29,Plovdiv,Bulgaria,42.13541,24.74529,24829.8294,10.7474,5.559,1.0355,1.1227,0.6758,0.9701,1.3843,19490.3554,1.2535,19489.1019,852.9359,449.189,316.863,86.8839,168.4704,12.6113,27.0865,6.1149,46.7719,75.8858,4307.3203,246.122,4061.1983,561.0557
30,Thessaloniki,Greece,40.64006,22.94442,29026.155,19.6963,10.9,1.5914,1.2099,1.2426,1.2535,3.4989,19810.8154,1.7004,19809.115,1247.8102,592.4804,480.5047,174.8251,234.9495,32.9398,34.117,8.72,81.0851,78.0876,7712.8836,328.1336,7384.75,719.9559
31,Ottawa,Canada,45.42153,-75.69719,31750.937,22.8355,11.99,1.5151,1.5696,1.7113,2.943,3.1065,17519.9515,0.8829,17519.0686,3271.417,1789.9435,1369.4651,112.0084,230.4151,47.7965,43.8289,10.4858,49.6277,78.6762,10706.3179,852.5435,9853.7744,3166.0903
32,Sofia,Bulgaria,42.69771,23.32187,26892.3383,11.9682,6.6926,0.9156,1.1336,0.763,1.1009,1.3625,19820.9524,1.2644,19819.688,1345.169,725.1443,522.2081,97.8166,178.8472,11.3142,26.5306,6.6926,61.0182,73.2916,5535.4015,354.5007,5180.9008,772.4285
33,Rotterdam,Netherlands,51.92442,4.47773,42140.1521,23.6966,14.17,2.2781,0.9701,1.0246,2.2781,2.9757,26051.7085,1.7985,26049.91,3520.7218,2011.9547,1341.1687,167.5984,271.1375,41.638,31.392,13.08,92.105,92.9225,12272.8877,1217.1703,11055.7174,2520.5051
34,Varna,Bulgaria,43.21405,27.91473,23853.5491,11.8265,6.6708,0.9483,1.1118,0.654,1.1009,1.3407,18602.4414,1.2208,18601.2206,894.6611,479.6436,332.6789,82.3386,148.8613,12.208,24.1871,6.6708,42.4119,63.3835,4195.7588,287.5529,3908.2059,557.535
35,Novi Sad,Serbia,45.26714,19.83355,23645.2392,9.9517,5.2756,1.2535,0.8284,0.6104,0.7739,1.2099,19421.1295,1.4606,19419.6689,955.1016,491.7535,329.3544,133.9937,194.7067,21.037,24.9501,3.706,66.5445,78.4691,3064.3497,182.139,2882.2107,479.1422
36,Utrecht,Netherlands,52.09074,5.12142,48559.9033,26.9993,16.35,2.7577,1.0028,1.199,2.3871,3.3027,36267.8534,1.8094,36266.044,3717.7502,2119.4396,1387.025,211.2856,290.5504,38.2154,30.5745,11.99,109.872,99.8985,8256.75,1580.5,6676.25,2413.4562
37,Berlin,Germany,52.52001,13.40495,32845.8965,18.6063,9.265,2.2018,0.872,0.9374,2.3435,2.9866,21527.9796,1.5696,21526.41,3412.5284,1832.4971,1327.3693,252.662,249.2285,31.6972,28.7651,10.9,88.8023,89.0639,7637.5537,193.8892,7443.6645,2495.5114
38,Beirut,Lebanon,33.89379,35.50178,29017.326,20.0015,9.7882,0.8066,2.0601,1.3189,1.8639,4.1638,20456.4551,0.872,20455.5831,2747.9227,1795.5461,818.9279,133.4487,307.1075,54.2166,71.5694,9.7882,63.6233,107.91,5485.8392,379.6143,5106.2249,937.2801
39,"Austin, TX",USA,30.26715,-97.74306,45774.9097,28.5689,14.6932,2.0383,0.8175,2.3326,4.3818,4.3055,20430.8946,0.6104,20430.2842,5002.2171,2997.6635,1869.2628,135.2908,226.0551,60.3642,37.6377,11.7502,42.5209,73.7821,20087.174,970.8303,19116.3437,4466.7328
40,Singapore,Singapore,1.35208,103.81984,100941.6627,23.6857,9.0797,1.3625,2.2236,3.7605,3.27,3.9894,73407.794,1.635,73406.159,6120.0884,3825.3986,2188.0987,106.5911,293.0574,31.4465,96.5195,9.4394,67.1767,88.4753,21097.0372,843.0169,20254.0203,3257.0508
41,Toronto,Canada,43.65323,-79.38318,44445.5021,27.7296,14.9875,1.7876,2.1146,2.3653,3.0956,3.379,19152.3791,0.9047,19151.4744,4675.7076,2618.0274,1953.607,104.0732,232.7477,48.4178,40.7442,11.2379,52.1456,80.2022,20356.9381,1115.0591,19241.879,2564.4321
42,Auckland,New Zealand,-36.84846,174.76333,37600.1931,25.9856,13.0255,2.18,1.7331,3.5316,2.4307,3.0847,19158.2215,1.4497,19156.7718,4078.8345,2182.3108,1788.0142,108.5095,267.1481,54.2711,41.0712,11.7175,69.1387,90.9496,14070.0034,767.5562,13302.4472,2556.0064
43,Podgorica,Montenegro,42.43042,19.25936,29896.8034,11.5322,5.45,1.8312,0.8611,1.0464,0.763,1.5805,19238.4019,1.4606,19236.9413,1140.3144,603.3913,424.555,112.3681,205.2252,25.6368,32.7,5.45,62.021,79.4174,9301.3297,145.3297,9156,528.4429
44,Vancouver,Canada,49.28273,-123.12074,38968.1758,24.5577,12.7421,1.526,1.7767,2.2454,2.943,3.3245,17503.4162,1.1663,17502.2499,4918.2653,2819.2087,2030.6918,68.3648,234.3173,53.3446,38.804,11.2379,51.6769,79.2539,16287.6193,926.2275,15361.3918,2861.5879
45,Tokyo,Japan,35.6804,139.76902,43278.2538,25.0155,8.9271,1.308,1.6895,2.4198,7.1722,3.4989,19741.5241,1.2426,19740.2815,3983.8846,2475.2701,1331.5876,177.0269,283.4872,41.7797,84.2461,16.0775,63.656,77.7279,19244.3424,658.3818,18585.9606,2896.5878
46,Victoria,Canada,48.42842,-123.36564,33084.0724,25.4297,13.1345,1.6895,1.6677,2.2018,3.3354,3.4008,17206.4348,1.0682,17205.3666,3749.5891,2014.2982,1649.497,85.7939,240.2578,59.0889,39.4253,11.2597,48.7884,81.6955,11862.361,774.9573,11087.4037,2548.8124
47,Winnipeg,Canada,49.89514,-97.13837,29000.5727,22.127,11.2379,1.6241,1.3189,1.7331,2.8449,3.3681,17675.004,0.8393,17674.1647,2215.6648,1090.6322,1029.396,95.6366,216.256,52.7887,37.8993,9.7446,45.0279,70.7955,8871.5209,409.3713,8462.1496,2255.0683
48,"Boston, MA",USA,42.36008,-71.05888,55648.1624,27.8713,14.6823,1.9075,0.8502,2.1909,4.3164,3.924,20068.7312,0.7194,20068.0118,6755.1224,3896.423,2728.3463,130.3531,263.2459,67.253,56.6473,14.6823,47.2406,77.4227,28533.1916,1672.8884,26860.3032,4503.9672
49,"Chicago, IL",USA,41.87811,-87.6298,45056.8177,28.231,14.6823,1.9075,0.763,1.9838,4.8723,4.0221,20539.2951,0.8066,20538.4885,5710.6953,3454.1773,2128.9008,127.6172,250.373,62.3807,46.3468,12.7203,49.3552,79.57,18528.2233,1118.0457,17410.1776,4051.5518
50,Almaty,Kazakhstan,43.22201,76.85125,25103.354,10.137,5.1993,0.436,0.8175,0.6104,1.1336,1.9402,18841.5765,0.4251,18841.1514,1069.508,616.0135,389.7513,63.7432,188.2757,11.4123,42.9569,3.9022,48.8102,81.1941,4993.8568,166.8572,4826.9996,408.1178
51,Oslo,Norway,59.91387,10.75225,50911.5347,36.297,20.383,3.1828,1.962,3.3136,2.7904,4.6652,34059.8404,1.7985,34058.0419,4179.5178,2267.9085,1738.7571,172.8522,318.062,49.8457,46.2596,15.4235,100.3672,106.166,12317.8175,347.9171,11969.9004,3254.6092
52,Frankfurt,Germany,50.11092,8.68213,41174.7609,20.6773,10.9,2.6051,0.7848,0.9592,2.4416,2.9866,22944.6962,1.5587,22943.1375,3762.8326,2048.0337,1425.3821,289.4168,271.5844,33.5066,49.1154,13.08,79.8207,96.0617,14174.9704,408.2704,13766.7,2853.9361
53,Bratislava,Slovakia,48.1486,17.10775,28793.1021,13.9084,6.54,1.7658,0.8284,0.7848,1.7113,2.2781,17152.1092,1.4497,17150.6595,2212.9289,1150.7893,865.46,196.6796,192.3196,17.1021,29.1793,8.7091,67.2421,70.087,9221.836,436.436,8785.4,1154.7242
54,"Dallas, TX",USA,32.77666,-96.79699,43285.4696,27.4135,14.6932,1.8421,0.6976,2.3762,4.033,3.7714,19142.2312,0.6104,19141.6208,4603.4188,2699.1125,1752.2404,152.0659,228.5512,65.0403,35.5122,11.7502,39.2727,76.9758,19283.8549,872.0981,18411.7568,4580.18
55,Zagreb,Croatia,45.81501,15.98192,27822.5443,14.2681,7.3248,2.0819,0.9483,1.1118,1.1554,1.6459,21601.5328,1.4715,21600.0613,1628.8633,847.8129,591.3141,189.7363,233.7941,24.1108,38.1064,5.8533,80.5292,85.1944,4344.086,157.5268,4186.5592,985.3491
56,Hamburg,Germany,53.55108,9.99368,39676.4142,22.2905,11.99,2.834,0.9265,0.872,2.4961,3.1719,20370.5304,1.5478,20368.9826,3563.0683,1885.7,1423.8125,253.5558,274.3966,34.1061,45.78,13.08,83.2433,98.1872,15446.1284,304.2081,15141.9203,2760.4468
57,Krakow,Poland,50.06465,19.94498,29125.1924,12.1971,6.4419,1.1881,0.6649,0.8393,0.8284,2.2345,19779.6632,1.308,19778.3552,1849.3812,977.9153,682.5907,188.8752,174.1166,13.8975,25.3643,6.4419,62.1082,66.3047,7309.8343,212.6481,7097.1862,932.8983
58,Riga,Latvia,56.94965,24.10519,34333.2015,14.6169,7.63,1.1009,0.9592,1.1227,1.1336,2.6705,19019.628,1.3952,19018.2328,1481.0702,761.3541,531.9854,187.7307,206.1844,17.658,37.8993,8.72,66.1848,75.7223,13611.702,362.752,13248.95,878.5618
59,Gdansk,Poland,54.35203,18.64664,25078.7309,12.3061,6.4419,1.199,0.6431,0.8284,0.8502,2.3435,18974.3058,1.2971,18973.0087,1769.288,916.5047,667.5923,185.191,199.361,13.4288,31.3811,5.668,72.049,76.8341,4123.47,206.9038,3916.5662,942.9481
60,Santiago,Chile,-33.44889,-70.66927,22520.7952,14.5515,7.5646,1.0246,0.9483,1.09,1.5369,2.3871,14045.4239,1.0355,14044.3884,1555.1902,764.9947,692.5097,97.6858,170.258,32.2422,28.8305,6.3002,48.5159,54.3692,6735.3716,385.7292,6349.6424,673.9797
61,Nairobi,Kenya,-1.29207,36.82195,26119.3212,13.516,4.8287,0.5777,1.0246,2.0274,2.5833,2.4743,14433.6056,1.0791,14432.5265,1397.6089,907.0326,439.4553,51.121,197.1919,56.5819,49.486,7.7281,24.5141,58.8818,10077.3988,191.9054,9885.4934,357.3565
62,Abu Dhabi,United Arab Emirates,24.45388,54.37734,34181.5934,19.838,6.6708,0.872,1.6677,3.2373,2.3871,5.0031,18332.5029,0.5886,18331.9143,4573.1931,2516.1451,1930.0521,126.9959,342.4453,101.6861,80.4529,10.6602,62.9584,86.6877,10913.6141,580.0217,10333.5924,2583.1365
63,"Houston, TX",USA,29.76043,-95.3698,46343.0395,27.5225,14.6932,1.9729,0.7412,2.2454,3.4771,4.3927,20649.9737,0.6213,20649.3524,4123.2411,2361.2779,1628.6126,133.3506,211.6998,59.0017,35.0217,10.573,40.1992,66.9042,21330.6024,879.4992,20451.1032,3889.9702
64,Tbilisi,Georgia,41.71514,44.8271,15681.4812,9.6901,5.0903,0.4251,1.0573,0.7848,0.8066,1.526,12169.2723,0.8502,12168.4221,1119.2883,682.0893,379.7669,57.4321,189.9434,15.3581,33.0161,4.8941,56.7454,79.9297,2193.2871,106.5257,2086.7614,270.3963
65,Dubai,United Arab Emirates,25.20485,55.27078,35443.9006,21.4839,7.9897,0.8938,1.526,4.1311,2.1473,4.796,19135.7021,0.6104,19135.0917,5225.1984,2996.8569,2057.6148,170.7267,341.5951,98.5578,78.1857,10.6602,61.1381,93.0533,10719.9211,535.081,10184.8401,2809.5295
66,Bogota,Colombia,4.71099,-74.07209,28520.4604,9.2759,3.597,0.7412,0.8284,0.8284,1.9947,1.2862,20989.3779,0.7412,20988.6367,1216.9741,662.7418,470.7492,83.4831,190.5865,31.6754,25.942,4.1965,52.6034,76.1692,6114.246,243.2008,5871.0452,333.6272
67,Brno,Czech Republic,49.19506,16.60684,29818.9556,12.5677,6.4855,1.2971,0.7739,0.6649,1.2971,2.0492,21219.8475,1.4061,21218.4414,1972.1915,1034.1811,779.786,158.2244,202.4784,19.1622,32.6782,8.3058,64.0375,78.2947,6411.8705,362.9155,6048.955,1114.1217
68,Munich,Germany,48.13513,11.58198,39967.2044,23.7402,13.08,2.9757,0.9374,1.0355,2.4634,3.2482,22403.5766,1.5587,22402.0179,4486.0912,2388.3099,1833.2819,264.4994,263.2459,37.1581,37.8121,13.08,83.3196,91.8761,12790.5505,618.8802,12171.6703,2863.9859
69,Poznan,Poland,52.40637,16.92517,24954.6017,11.9028,6.431,1.0028,0.6867,0.7848,0.7521,2.2454,18932.9185,1.308,18931.6105,1613.3199,808.8781,634.8378,169.604,191.4803,12.6658,24.1217,6.431,78.5454,69.7164,4204.9802,215.7655,3989.2147,863.2146
70,"Las Vegas, NV",USA,36.16994,-115.13983,38977.1356,26.1709,14.6823,1.5805,0.763,2.0492,3.1174,3.9785,20811.8714,0.8284,20811.043,3425.3904,1814.85,1459.5645,150.9759,223.5699,70.4576,25.1027,11.7393,43.3384,72.9319,14490.133,857.394,13632.739,3414.2942
71,London,UK,51.50735,-0.12776,59519.3737,30.2148,19.0641,1.8094,1.2317,2.2127,2.2999,3.597,27559.9851,1.6459,27558.3392,6753.313,3962.1064,2587.4202,203.7864,274.1023,40.4063,50.1618,15.26,83.3196,84.9546,24901.7585,1750.1585,23151.6,3005.0537
72,"Los Angeles, CA",USA,34.05223,-118.24368,49765.5196,28.3291,14.6823,2.2127,0.9483,1.8312,4.2837,4.3709,20386.8368,1.0246,20385.8122,6997.6801,3936.3933,2939.2177,122.0691,240.1488,60.7566,40.0902,14.6823,48.2979,76.3218,22112.5248,1036.7753,21075.7495,4325.6432
73,Panama City,Panama,8.98238,-79.51987,28620.0646,19.729,9.7882,1.2426,1.5042,0.7739,3.5534,2.8667,18837.7288,0.7848,18836.944,2661.017,1512.5494,1049.2994,99.1682,208.0483,45.3222,44.1123,5.8751,48.3306,64.4081,6893.5415,252.6293,6640.9122,769.8997
74,Seoul,South Korea,37.56654,126.97797,45318.603,24.2743,6.9978,1.4497,2.1255,2.3435,7.303,4.0548,23448.6686,1.2862,23447.3824,3369.299,2075.251,1129.6869,164.3611,236.8897,21.5384,60.6476,8.4802,64.0375,82.186,18239.4714,352.1572,17887.3142,2311.1706
75,Warsaw,Poland,52.22968,21.01223,31725.867,12.5677,6.4419,1.0791,0.6867,0.8502,0.7957,2.7141,20307.9208,1.2971,20306.6237,2189.7228,1168.1421,860.9692,160.6115,200.6908,13.843,28.3073,7.7281,72.6376,78.1748,9014.9649,357.0186,8657.9463,1067.5678
76,Prague,Czech Republic,50.07554,14.4378,31960.2824,13.1236,6.4855,1.3516,0.8393,0.7194,1.3625,2.3653,19150.864,1.4061,19149.4579,2594.9739,1411.332,990.4176,193.2243,224.9324,21.7455,37.7903,8.6437,78.2075,78.5454,9976.3885,523.5815,9452.807,1290.2875
77,Wroclaw,Poland,51.10789,17.03854,29377.8762,11.9464,6.4419,1.0573,0.6104,0.7848,0.7412,2.3108,19775.8591,1.2971,19774.562,1796.9631,919.2406,700.5866,177.1359,183.338,13.3634,24.1326,6.4419,69.0188,70.3813,7609.7696,278.2879,7331.4817,924.4399
78,Kuala Lumpur,Malaysia,3.15695,101.7123,35728.5105,12.9492,3.1283,0.6431,1.5805,2.2127,2.6269,2.7577,27286.624,0.5123,27286.1117,1465.3306,921.5078,491.481,52.3418,197.3663,29.1684,41.9868,4.3382,54.2602,67.6127,6766.2404,182.2262,6584.0142,1006.3316
